Operating in scanner mode
yylex returned NAME_INITIAL_TOKEN token (F.)
yylex returned NAMETOKEN token (Flintstone)
yylex returned EOLTOKEN token (260)
yylex returned INTTOKEN token (5806)
yylex returned NAMETOKEN token (PebbleRd)
yylex returned HASHTOKEN token (263)
yylex returned INTTOKEN token (345)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Stonecity)
yylex returned COMMATOKEN token (261)
yylex returned NAMETOKEN token (TX)
yylex returned INTTOKEN token (75080)
yylex returned EOLTOKEN token (260)
yylex returned EOLTOKEN token (260)
yylex returned NAME_INITIAL_TOKEN token (W)
yylex returned NAMETOKEN token (Flintstone)
yylex returned ROMANTOKEN token (IV)
yylex returned EOLTOKEN token (260)
yylex returned INTTOKEN token (5806)
yylex returned NAMETOKEN token (PebbleRd)
yylex returned INTTOKEN token (345)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Stonecity)
yylex returned COMMATOKEN token (261)
yylex returned NAMETOKEN token (TX)
yylex returned INTTOKEN token (75080)
yylex returned DASHTOKEN token (262)
yylex returned INTTOKEN token (4321)
yylex returned EOLTOKEN token (260)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Barney)
yylex returned NAMETOKEN token (Rubble)
yylex returned JRTOKEN token (259)
yylex returned EOLTOKEN token (260)
yylex returned IDENTIFIERTOKEN token (106B)
yylex returned NAMETOKEN token (RockyRoad)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Stonecity)
yylex returned COMMATOKEN token (261)
yylex returned NAMETOKEN token (TX)
yylex returned INTTOKEN token (75080)
yylex returned DASHTOKEN token (262)
yylex returned INTTOKEN token (9384)
yylex returned EOLTOKEN token (260)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Betty)
yylex returned NAMETOKEN token (Rubble)
yylex returned EOLTOKEN token (260)
yylex returned IDENTIFIERTOKEN token (106B)
yylex returned NAMETOKEN token (RockyRoad)
yylex returned EOLTOKEN token (260)
yylex returned NAMETOKEN token (Stonecity)
yylex returned COMMATOKEN token (261)
yylex returned NAMETOKEN token (TX)
yylex returned INTTOKEN token (75080)
yylex returned EOLTOKEN token (260)
